project,tech,province,year,wind_cap,sol_cap,storage,duration,location
eReserve1 ATCO Rycroft 730S Battery DER,Energy Storage,AB,2022,#N/A,#N/A,20,20,20-Grande Prairie
eReserve3 Mercer Hill,Energy Storage,AB,2022,#N/A,#N/A,20,20,Clairmont
Brooks 121S DER Solar 1,Solar,AB,2022,#N/A,13,#N/A,#N/A,Brooks
Brooks 121S DER Solar 2,Solar,AB,2022,#N/A,14,#N/A,#N/A,Brooks
Clydesdale 1&2,Solar,AB,2022,#N/A,75,#N/A,#N/A,Taber
Coaldale 254S DER Solar 3 (Fortis),Solar,AB,2022,#N/A,22.5,#N/A,#N/A,Lethbridge
Conrad DER Solar 1 (FortisAlberta),Solar,AB,2022,#N/A,18.4,#N/A,#N/A,Vauxhall
Conrad DER Solar 2 (FortisAlberta),Solar,AB,2022,#N/A,18,#N/A,#N/A,Vauxhall
Kisikaw-pisim 1 & 2,Solar,AB,2022,#N/A,13.6,#N/A,#N/A,Enoch Cree Reserve land
Monarch 492S DER Solar (Fortis),Solar,AB,2022,#N/A,23.6,#N/A,#N/A,Lethbridge
"Namaka Solar (East Strathmore Solar Project)
(NMK1)",Solar,AB,2022,#N/A,20.1,#N/A,#N/A,Strathmore
Strathmore Solar,Solar,AB,2022,#N/A,40.5,#N/A,#N/A,Strathmore
Travers Solar Project,Solar,AB,2022,#N/A,465,#N/A,#N/A,Lomond
Vulcan Faribault Farms DG PV (Fortis 255S),Solar,AB,2022,#N/A,22,#N/A,#N/A,Stavely
"Forty Mile Wind Power Project- Granlea
Phase",Wind,AB,2022,202.5,#N/A,#N/A,#N/A,Bow Island
Lanfine North Wind Farm,Wind,AB,2022,150,#N/A,#N/A,#N/A,"Oyen, AB"
Rattlesnake Ridge Wind Project,Wind,AB,2022,130,#N/A,#N/A,#N/A,Medicine Hat
Wheatland WAGF Project,Wind,AB,2022,122.4,#N/A,#N/A,#N/A,43-Sheerness
Kejimkujik National Park Solar Array,Solar,NS,2022,#N/A,0.1,#N/A,#N/A,Kejimkujik
"Collaborative Grid Innovation for Atlantic
Smart Energy Communities (Amherst)",Solar-Storage,NS,2022,#N/A,2,,,Amherst
"Metrolinx Eglinton Crosstown Maintenance
and Storage Facility",Energy Storage,ON,2022,#N/A,#N/A,10,30,"Toronto, ON"
Des Cultures (Parc Éolien),Wind,QC,2022,24,#N/A,#N/A,#N/A,"communauté mohawk de Kahnawake, en
Montérégie"
Awasis Solar,Solar,SK,2022,#N/A,10,#N/A,#N/A,Regina
Blue Hill Wind Project,Wind,SK,2022,177,#N/A,#N/A,#N/A,South of Herbert
Golden South Wind Energy Facility,Wind,SK,2022,200,#N/A,#N/A,#N/A,south of Assiniboia
Snowline Gold Solar Mine,Solar-Storage,YK,2022,#N/A,,,0.121,Remote eastern Yukon
ENMAX Crossfield CRS3 Battery Storage,Energy Storage,AB,2021,#N/A,#N/A,10,4.3,57-Airdrie
eReserve2 Buffalo Creek 526S DER Storage,Energy Storage,AB,2021,#N/A,#N/A,20,20,32-Wainwright
Alberta Solar One (Burdett 1),Solar,AB,2021,#N/A,10.5,#N/A,#N/A,"Burdet, Forty Mile County"
Burdett Solar Project,Solar,AB,2021,#N/A,20,#N/A,#N/A,"Burdet, Forty Mile County"
Claresholm Solar project,Solar,AB,2021,#N/A,132,#N/A,#N/A,Claresholm
Hays DG PV (Fortis 421S),Solar,AB,2021,#N/A,23,#N/A,#N/A,Taber
Jenner Solar DER (Fortis 275S),Solar,AB,2021,#N/A,23,#N/A,#N/A,Empress
Suffield Solar,Solar,AB,2021,#N/A,23,#N/A,#N/A,Suffield
Yellow Lake Solar Project,Solar,AB,2021,#N/A,19,#N/A,#N/A,Yellow Lake
Whitla Wind 2,Wind,AB,2021,97.2,#N/A,#N/A,#N/A,County of Forty Mile
Whitla Wind 3,Wind,AB,2021,54,#N/A,#N/A,#N/A,County of Forty Mile
Windrise,Wind,AB,2021,206.4,#N/A,#N/A,#N/A,Municipal District of Willow Creek
Sukunka Wind Energy Project,Wind,BC,2021,15,#N/A,#N/A,#N/A,Chetwynd
Zonnebeke Wind Energy Project,Wind,BC,2021,15,#N/A,#N/A,#N/A,Chetwynd
Berwick (AREA),Solar-Storage,NS,2021,#N/A,4.8,,0.5,Berwick
NSG Group Collingwood Storage,Energy Storage,ON,2021,#N/A,#N/A,,10,"Collingwood, ON"
Fort Severn Solar,Solar,ON,2021,#N/A,0.3,#N/A,#N/A,Fort Severn
Nation Rise Wind Farm,Wind,ON,2021,101.5,#N/A,#N/A,#N/A,North Stormont
WEICAN R&D Park Phase 2,Solar-Storage,PE,2021,#N/A,0.1,0.1,0.22,North Cape
Gabrielle-Bodis generating station (La Prairie),Solar,QC,2021,#N/A,8,#N/A,#N/A,La Prairie
"Robert-A.-Boyd generating station
(Varennes)",Solar,QC,2021,#N/A,1.5,#N/A,#N/A,Varennes
Le Projet Éoliennes Belle-Rivière (Val-eo),Wind,QC,2021,24,#N/A,#N/A,#N/A,MRC de Lac-Saint-Jean-Est
Highfield Solar Project,Solar,SK,2021,#N/A,10,#N/A,#N/A,Swift Current
Ocean Man Second Wind 1 and 2,Solar,SK,2021,#N/A,1,#N/A,#N/A,Ocean Man
Pesâkâstêw Solar Project,Solar,SK,2021,#N/A,10,#N/A,#N/A,Weyburn
Riverhurst Wind Farm,Wind,SK,2021,10.5,#N/A,#N/A,#N/A,Riverhurst
North Klondike Solar,Solar,YK,2021,#N/A,1,#N/A,#N/A,Whitehorse
Old Crow Solar Project,Solar-Storage,YK,2021,#N/A,0.5,,,Old Crow
WindCharger Battery Storage (Summerview),Energy Storage,AB,2020,#N/A,#N/A,10,20,"Summerview Wind Farm, MD of Pincher Creek, 13
km northeast of Pincher Creek, AB"
Hull Solar Farm (Prairie Light 2),Solar,AB,2020,#N/A,25,#N/A,#N/A,Vauxhall
Innisfail Solar Project,Solar,AB,2020,#N/A,22,#N/A,#N/A,"Innisfail, Red Deer County"
Montana First Nation Solar Project,Solar,AB,2020,#N/A,4.6,#N/A,#N/A,Wetaskiwin
Vauxhall Solar Farm (Prairie Light 3),Solar,AB,2020,#N/A,22,#N/A,#N/A,Vauxhall 
"ATCO Fort Chipewyan Solar & Storage plus
Three Nations Energy Solar Farm",Solar-Storage,AB,2020,#N/A,2.2,,1.5,Fort Chipewyan
Castle Rock Ridge Phase 2,Wind,AB,2020,29.4,#N/A,#N/A,#N/A,Municipal District of Pincher Creek
Riverview Wind Power Plant,Wind,AB,2020,105,#N/A,#N/A,#N/A,Municipal District of Pincher Creek
Tobacco Plains Indian Band Grasmere,Solar-Storage,BC,2020,#N/A,,,,Grasmere
Fisher River,Solar,MB,2020,#N/A,1,#N/A,#N/A,Fisher River
Oinpegitjoig Wind Project (Richibucto),Wind,NB,2020,3.8,#N/A,#N/A,#N/A,"8 kilometers south of Bathurst, in Gloucester
County, New Brunswick"
Wocawson Energy Project Phase 1,Wind,NB,2020,20,#N/A,#N/A,#N/A,"near Sussex, Kings County"
Kruger Brampton Energy Storage LP,Energy Storage,ON,2020,#N/A,#N/A,1,2,"Brampton, ON"
La Dune-du-Nord aux Iles-de-la-Madeleine,Wind,QC,2020,8,#N/A,#N/A,#N/A,Iles de la Madeleine
Whitla Wind 1,Wind,AB,2019,201.6,#N/A,#N/A,#N/A,County of Forty Mile
Tsilhqot’in Solar Farms,Solar-Storage,BC,2019,#N/A,0.9,,,Nemiah Valley
Moose Lake,Wind,BC,2019,15,#N/A,#N/A,#N/A,Crown land 24km NW of Tumbler Ridge BC
Saint John Energy Megapack - Millidgeville,Energy Storage,NB,2019,#N/A,,1.3,2.5,"Millidgeville, NB"
"Wisokolamson Energy Wind Project (Albert
Wind)",Wind,NB,2019,18,#N/A,#N/A,#N/A,"12 kilometres west of the Village of Riverside-Albert, New Brunswick, Canada"
Ameresco Newmarket Energy Storage Inc. 1,Energy Storage,ON,2019,#N/A,#N/A,2,2,"Newmarket, ON"
Ameresco Newmarket Energy Storage Inc. 2,Energy Storage,ON,2019,#N/A,#N/A,2,2,"Newmarket, ON"
Convergent Sarnia Shell,Energy Storage,ON,2019,#N/A,#N/A,10,20,"Sarnia, ON"
Ellwood Energy Storage LP,Energy Storage,ON,2019,#N/A,#N/A,4,2.8,Ottawa
Goderich A-CAES Facility,Energy Storage,ON,2019,#N/A,#N/A,1.8,7,"Goderich, ON"
Barlow Solar Energy Centre,Solar,ON,2019,#N/A,10,#N/A,#N/A,Cornwall
Loyalist Solar Project,Solar,ON,2019,#N/A,54,#N/A,#N/A,Centreville
Nanticoke Solar,Solar,ON,2019,#N/A,44,#N/A,#N/A,Nanticoke
Pendleton Solar Energy Centre,Solar,ON,2019,#N/A,12,#N/A,#N/A,Curran
Henvey Inlet,Wind,ON,2019,300,#N/A,#N/A,#N/A,Henvey Inlet
Romney Wind Energy Center,Wind,ON,2019,60,#N/A,#N/A,#N/A,Romney
Université de Sherbrooke Solar Park,Solar,QC,2019,#N/A,1,#N/A,#N/A,Université de Sherbrooke
Maple Creek Solar 1,Solar,SK,2019,#N/A,0.1,#N/A,#N/A,Maple Creek
Maple Creek Solar 2,Solar,SK,2019,#N/A,0.1,#N/A,#N/A,Maple Creek
Western Lily,Wind,SK,2019,20,#N/A,#N/A,#N/A,"Greenfell, SK"
Cap Pelé,Wind,NB,2018,2.35,#N/A,#N/A,#N/A,Near Botsford Portage
Kent Hills 3,Wind,NB,2018,17.25,#N/A,#N/A,#N/A,"Elgin Parish in Albert County, N.B"
"2 MW NextEra Elmira Grid Battery Storage
Facility",Energy Storage,ON,2018,#N/A,#N/A,2,8,"Elmira, ON"
Convergent Sarnia Anonymous,Energy Storage,ON,2018,#N/A,#N/A,10,20,"Sarnia, ON"
Hecate Stratford,Energy Storage,ON,2018,#N/A,#N/A,8.8,40.8,"Stratford, ON"
Amherst Island Wind Project,Wind,ON,2018,75,#N/A,#N/A,#N/A,Loyalist Township
North Kent Wind Farm,Wind,ON,2018,100,#N/A,#N/A,#N/A,Chatham-Kent
La Maison Simons Quebec City,Solar,QC,2018,#N/A,1.3,#N/A,#N/A,Quebec City
Mont Sainte-Marguerite,Wind,QC,2018,147.2,#N/A,#N/A,#N/A,la région de Chaudière-Appalaches
Nicolas-Riou Wind Project,Wind,QC,2018,224.25,#N/A,#N/A,#N/A,Bas-Saint-Laurent region
Brooks 1,Solar,AB,2017,#N/A,15,#N/A,#N/A,"Brooks, Newell County"
Meikle Wind,Wind,BC,2017,179,#N/A,#N/A,#N/A,Tumbler Ridge
Pennask Wind Power Project,Wind,BC,2017,15,#N/A,#N/A,#N/A,44 km west of Kelowna
Shinish Creek Wind Power Project,Wind,BC,2017,15,#N/A,#N/A,#N/A,33 km west of Summerland
Chebucto Terence Bay Wind Farm,Wind,NS,2017,7.05,#N/A,#N/A,#N/A,Terence Bay
Ellershouse Wind Farm (phase II & III),Wind,NS,2017,7.05,#N/A,#N/A,#N/A,"Proximate to the towns of Antigonish, Berwick
and Mahone Bay"
Liverpool Wind Energy Storage Project,Wind,NS,2017,4.7,#N/A,#N/A,#N/A,"Liverpool, Queens Municipality. Distribution
network restricted to 3.6MW, storage used to
handle full turbine capacity"
New Victoria Wind Turbine,Wind,NS,2017,1.95,#N/A,#N/A,#N/A,"New Victoria, ON"
Pictou Landing Wind Farm,Wind,NS,2017,1.6,#N/A,#N/A,#N/A,Pictou County
"13 MW / 53 MWh IESO Energy Storage
Procurement Phase 1 - Hecate Energy
(Toronto Installation)",Energy Storage,ON,2017,#N/A,#N/A,13,53,Toronto
"5 MW / 20 MWh - Ontario IESO - SunEdison
/ Imergy Flow Battery",Energy Storage,ON,2017,#N/A,#N/A,5,20,Ontario
Hecate Energy Ontario Storage VII LP,Energy Storage,ON,2017,#N/A,#N/A,2,,"Kitchener, ON"
"Parry Energy Storage, LP",Energy Storage,ON,2017,#N/A,#N/A,2,,Parry Sound
Powin Energy Ontario Storage II LP 1,Energy Storage,ON,2017,#N/A,#N/A,2.4,,"Stratford, ON"
Powin Energy Ontario Storage II LP 2,Energy Storage,ON,2017,#N/A,#N/A,2.4,,"Stratford, ON"
Powin Energy Ontario Storage II LP 3,Energy Storage,ON,2017,#N/A,#N/A,2,,"Stratford, ON"
Powin Energy Ontario Storage II LP 4,Energy Storage,ON,2017,#N/A,#N/A,2,,"Stratford, ON"
"Sault Ste. Marie Energy Storage - Convergent
+ GE / IESO",Energy Storage,ON,2017,#N/A,#N/A,7,7,"Sault Ste. Marie, ON"
Sault Ste. Marie Energy Storage LP,Energy Storage,ON,2017,#N/A,#N/A,7,,Sault Ste. Marie
Belle River Wind Project,Wind,ON,2017,100,#N/A,#N/A,#N/A,"Lakeshore, Ontario"
Moorefield Wind Project,Wind,ON,2017,0.5,#N/A,#N/A,#N/A,"Mapleton Township, County of Wellington"
Settlers Landing Wind Park,Wind,ON,2017,8,#N/A,#N/A,#N/A,"City of Kawartha Lakes, near town of Pontypool"
Sumac Ridge Wind Farm,Wind,ON,2017,10.25,#N/A,#N/A,#N/A,"Kawartha Lakes, ON"
"Samsung-Summerside “smart storage” Solar
PV System",Solar-Storage,PE,2017,#N/A,,0.3,0.9,"Summerside, PE"
Lower Nicola Indian Band Merritt,Solar,BC,2016,#N/A,0.1,#N/A,#N/A,Merritt
Amherst Community Wind Farm,Wind,NS,2016,6,#N/A,#N/A,#N/A,Cumberland County
Avondale Community Wind Park,Wind,NS,2016,1.6,#N/A,#N/A,#N/A,"Doliber Mtn, Pictou County"
Baddeck Community Wind Project,Wind,NS,2016,1.7,#N/A,#N/A,#N/A,"Baddeck, Victoria County"
Brenton Community Wind Project,Wind,NS,2016,1.99,#N/A,#N/A,#N/A,"Brenton, Yarmouth County"
Gardiner Mines (Cape Breton University),Wind,NS,2016,7.05,#N/A,#N/A,#N/A,Between Syndey and Glace Bay
Hardwood Lands Community Wind Project,Wind,NS,2016,6,#N/A,#N/A,#N/A,"Hardwood Lands, Hants County"
Ketch Harbour Wind Power Project,Wind,NS,2016,4.6,#N/A,#N/A,#N/A,Near Ketch Harbour
Porters Lake Wind Power Project,Wind,NS,2016,3.2,#N/A,#N/A,#N/A,Near Porters Lake
Walton Community Wind Project,Wind,NS,2016,1.99,#N/A,#N/A,#N/A,"Walton, Hans County"
Colville Lake Solar Project,Solar-Storage,NT,2016,#N/A,,,,"Colville Lake, Arctic Circle"
"Elmira Energy Storage, LP",Energy Storage,ON,2016,#N/A,#N/A,2,,"Elmira, ON"
Penetanguishene Microgrid - PowerStream,Energy Storage,ON,2016,#N/A,#N/A,0.8,0.5025,"Penetanguishene, ON"
Veridian-Ontario-Microgrid,Microgrid,ON,2016,,,0,,Sault Ste. Marie
HPG Site A,Solar,ON,2016,#N/A,2,#N/A,#N/A,Bowmanville
Southgate Solar,Solar,ON,2016,#N/A,50,#N/A,#N/A,Holstein
Windsor Solar,Solar,ON,2016,#N/A,50,#N/A,#N/A,Windsor
Ganaraska,Wind,ON,2016,17.6,#N/A,#N/A,#N/A,Orion
Grand Bend Wind Farm,Wind,ON,2016,99.3,#N/A,#N/A,#N/A,North of village of Grand Bend
Grey Highlands Clean Energy,Wind,ON,2016,18.5,#N/A,#N/A,#N/A,"Near McIntyre, Maxwell, and Hatherton"
Grey Highlands Zero Emission People (ZEP),Wind,ON,2016,10,#N/A,#N/A,#N/A,"McIntyre, Grey County"
Gunn's Hill Wind Farm,Wind,ON,2016,18,#N/A,#N/A,#N/A,"Township of Norwich, Oxford County"
Niagara Region Wind Farm,Wind,ON,2016,230,#N/A,#N/A,#N/A,"Niagara Region/ Townships of Lincoln, West
Lincoln, & Wainfleet / Haldimand County"
Port Ryerse Wind Farm,Wind,ON,2016,10,#N/A,#N/A,#N/A,Port Ryerse in Norfolk County
Snowy Ridge Wind Park,Wind,ON,2016,10,#N/A,#N/A,#N/A,City of Kawartha Lakes
Mesgi'g Ugju's'n,Wind,QC,2016,150,#N/A,#N/A,#N/A,"Rivière-Nouvelle, Gaspésie-Îles-de-la-Madeleine"
Pierre-De Saurel,Wind,QC,2016,24.6,#N/A,#N/A,#N/A,"Yamaska, Saint-Robert, Saint-Aimé & Montérégie"
Roncevaux,Wind,QC,2016,74.8,#N/A,#N/A,#N/A,"Ruisseau-Ferguson, Gaspésie-Îles-de-la-Madeleine"
Green Acres - Bassano,Solar,AB,2015,#N/A,2,#N/A,#N/A,Near Bassano
Bull Creek Wind Farm,Wind,AB,2015,29.16,#N/A,#N/A,#N/A,Municipal District of Provost
Sunmine,Solar,BC,2015,#N/A,1.05,#N/A,#N/A,"Sullivan Mine, Kimberley"
Auld's Mountain I,Wind,NS,2015,4.6,#N/A,#N/A,#N/A,Pictou County
Barrachois Wind Farm,Wind,NS,2015,4.6,#N/A,#N/A,#N/A,"Cape Breton Regional Municipality near the
community of Barrachois"
Barrington Wind Farm (Watts Wind II),Wind,NS,2015,3.2,#N/A,#N/A,#N/A,2 hours east of Halifax on the Eastern Shore
Bateston Wind Project,Wind,NS,2015,2.35,#N/A,#N/A,#N/A,Bateston
Black Pond Wind Farm,Wind,NS,2015,1.99,#N/A,#N/A,#N/A,Yarmouth
Cheticamp Wind Project,Wind,NS,2015,0.9,#N/A,#N/A,#N/A,"Village of Cheticamp, Cape Breton County"
Ellerhouse Wind Farm I,Wind,NS,2015,9.2,#N/A,#N/A,#N/A,"Proximate to the towns of Antigonish, Berwick
and Mahone Bay"
Fitzpatrick Wind Farm,Wind,NS,2015,1.4,#N/A,#N/A,#N/A,"Millsville, Pictou County"
Greenfield Wind Farm,Wind,NS,2015,3.2,#N/A,#N/A,#N/A,Colchester County
Hillside Boularderie Wind Farm,Wind,NS,2015,4.7,#N/A,#N/A,#N/A,Hillside Boularderie
Isle Madame Community Wind Project,Wind,NS,2015,1.99,#N/A,#N/A,#N/A,Isle Madame
Kemptown Wind Farm,Wind,NS,2015,5.04,#N/A,#N/A,#N/A,"Colchester County, near the Colchester balefill
facility, Exit 18, Highway 104"
Limerock Wind Farm,Wind,NS,2015,5.04,#N/A,#N/A,#N/A,Pictou County
"MacLellan's Brook (New Glasgow) Wind
Power Project",Wind,NS,2015,6.4,#N/A,#N/A,#N/A,New Glasgow
Martock Ridge Wind Project,Wind,NS,2015,6,#N/A,#N/A,#N/A,Martock Ridge
Nine Mile River Community Wind Project,Wind,NS,2015,3.98,#N/A,#N/A,#N/A,Nine Mile River
North Beaverbank Community Wind Project,Wind,NS,2015,7.96,#N/A,#N/A,#N/A,North Beaverbank
Point Aconi Wind Project,Wind,NS,2015,1.9,#N/A,#N/A,#N/A,"Point Aconi, Cape Breton County"
Sable Wind Farm,Wind,NS,2015,13.8,#N/A,#N/A,#N/A,Sable Island
South Canoe Wind Farm,Wind,NS,2015,102,#N/A,#N/A,#N/A,Lunenberg County
Wedgeport Wind Farm (Watts Wind II),Wind,NS,2015,1.6,#N/A,#N/A,#N/A,2 hours east of Halifax on the Eastern Shore
